CustomerID,FullName,Gender,DateOfBirth,City,Country,IncomeBand,Email,PhoneNumber,LoadDate
C024,,Male,1978-08-24,Benoni,South Africa,Middle,lungelo.zulu24@gmail.com,0602191066,2026-05-20 21:18:03.947897
C025,,Male,1960-10-26,Polokwane,South Africa,Low,david.ndlovu25@gmail.com,0764993055,2026-05-20 21:18:03.947897
C026,,Female,1969-11-14,Benoni,South Africa,High,noxolo.van der merwe26@gmail.com,0678935169,2026-05-20 21:18:03.947897
C027,,Female,1966-09-12,Paarl,South Africa,Upper-Middle,priya.cele27@gmail.com,0737897151,2026-05-20 21:18:03.947897
C028,,Female,1966-10-30,Cape Town,South Africa,High,thandeka.khoza28@gmail.com,0836692553,2026-05-20 21:18:03.947897
C029,,Male,1975-01-24,Midrand,South Africa,High,rajesh.gcaleka29@gmail.com,0648077999,2026-05-20 21:18:03.947897
C030,,Male,1980-05-30,Durban,South Africa,High,amit.anderson30@gmail.com,0852642635,2026-05-20 21:18:03.947897
C031,,Male,1966-05-15,Pietermaritzburg,South Africa,Middle,mthulisi.nkosi31@gmail.com,0739147706,2026-05-20 21:18:03.947897
C032,,Female,1963-04-06,Bloemfontein,South Africa,High,neha.jones32@gmail.com,0607550190,2026-05-20 21:18:03.947897
C033,,Female,1995-12-14,Midrand,South Africa,High,zodwa.pretorius33@gmail.com,0644185957,2026-05-20 21:18:03.947897
C034,,Female,1963-06-21,Polokwane,South Africa,Low,neha.mkhize34@gmail.com,0618999183,2026-05-20 21:18:03.947897
C035,,Male,1965-03-10,Bloemfontein,South Africa,Low,bongani.reddy35@gmail.com,0792140194,2026-05-20 21:18:03.947897
C036,Sibusiso Modise,Male,1980-02-02,,South Africa,Low,sibusiso.modise36@gmail.com,0792375453,2026-05-20 21:18:03.947897
C037,Nobuhle Sithole,Female,2004-11-25,,South Africa,Upper-Middle,nobuhle.sithole37@gmail.com,0666271130,2026-05-20 21:18:03.947897
C038,Sanjay Jones,Male,1969-09-28,,South Africa,High,sanjay.jones38@gmail.com,0702217071,2026-05-20 21:18:03.947897
C039,Phiwayinkosi Zwane,Male,1966-12-21,,South Africa,Middle,phiwayinkosi.zwane39@gmail.com,0765449324,2026-05-20 21:18:03.947897
C040,Nhlanhla Ndlovu,Male,1979-12-01,,South Africa,Upper-Middle,nhlanhla.ndlovu40@gmail.com,0658351517,2026-05-20 21:18:03.947897
C041,Sbongile Nkosi,Female,1984-11-10,,South Africa,Middle,sbongile.nkosi41@gmail.com,0682936571,2026-05-20 21:18:03.947897
C042,Nkosinathi Moloi,Male,1982-06-08,,South Africa,Middle,nkosinathi.moloi42@gmail.com,0826752576,2026-05-20 21:18:03.947897
C043,Sanjay Reddy,Male,2001-10-30,,South Africa,Low,sanjay.reddy43@gmail.com,0628106422,2026-05-20 21:18:03.947897
C044,Zanele Nkosi,Female,1987-12-04,,South Africa,Upper-Middle,zanele.nkosi44@gmail.com,0658412769,2026-05-20 21:18:03.947897
C045,Lungile Nkosi,Female,1968-01-14,,South Africa,Middle,lungile.nkosi45@gmail.com,0771604451,2026-05-20 21:18:03.947897
C046,Nobuhle Moodley,Female,1971-04-15,,South Africa,Middle,nobuhle.moodley46@gmail.com,0616171716,2026-05-20 21:18:03.947897
C047,Zanele Steyn,Female,1976-11-05,,South Africa,Low,zanele.steyn47@gmail.com,0717817881,2026-05-20 21:18:03.947897
C048,Rajesh Radebe,Male,1973-11-19,,South Africa,Low,rajesh.radebe48@gmail.com,0656573147,2026-05-20 21:18:03.947897
C049,Ayesha Smit,Female,1972-04-13,,South Africa,High,ayesha.smit49@gmail.com,0871649691,2026-05-20 21:18:03.947897
C050,Sunita Gcaleka,Female,1999-04-19,,South Africa,Upper-Middle,sunita.gcaleka50@gmail.com,0864818418,2026-05-20 21:18:03.947897
C051,Sipho Gcaleka,Male,1993-09-30,Polokwane,South Africa,Upper-Middle,sipho.gcaleka51@gmail.com,0872164686,2026-05-20 21:18:03.947897
C052,Nompumelelo Khoza,Female,2003-09-14,George,South Africa,Upper-Middle,nompumelelo.khoza52@gmail.com,0602935113,2026-05-20 21:18:03.947897
C053,Linda Shabalala,Female,1981-10-25,Cape Town,South Africa,Low,linda.shabalala53@gmail.com,0798290770,2026-05-20 21:18:03.947897
C054,Nokwanda Brown,Female,2003-11-19,Pretoria,South Africa,High,nokwanda.brown54@gmail.com,0884188992,2026-05-20 21:18:03.947897
C055,Zanele Brown,Female,1958-02-25,Centurion,South Africa,Middle,zanele.brown55@gmail.com,0718235969,2026-05-20 21:18:03.947897
C056,Lungelo Zwane,Male,1986-03-01,Pretoria,South Africa,Upper-Middle,lungelo.zwane56@gmail.com,0766188935,2026-05-20 21:18:03.947897
C057,Nokwanda Jones,Female,1984-07-11,Midrand,South Africa,Middle,nokwanda.jones57@gmail.com,0668053918,2026-05-20 21:18:03.947897
C058,Linda Zwane,Female,1984-12-31,George,South Africa,Low,linda.zwane58@gmail.com,0695813613,2026-05-20 21:18:03.947897
C059,Sanele Shabalala,Male,1986-11-29,Stellenbosch,South Africa,High,sanele.shabalala59@gmail.com,0744585314,2026-05-20 21:18:03.947897
C060,Jennifer Ngcobo,Female,1983-06-18,Centurion,South Africa,Upper-Middle,jennifer.ngcobo60@gmail.com,0624940441,2026-05-20 21:18:03.947897
C061,Sunita Gcaleka,Female,1971-03-22,Johannesburg,South Africa,Low,sunita.gcaleka61@gmail.com,0678971465,2026-05-20 21:18:03.947897
C062,Phiwayinkosi Williams,Male,1975-06-12,George,South Africa,High,phiwayinkosi.williams62@gmail.com,0725093379,2026-05-20 21:18:03.947897
C063,Thabo Cele,Male,1996-02-22,Pietermaritzburg,South Africa,Middle,thabo.cele63@gmail.com,0859689889,2026-05-20 21:18:03.947897
C064,Thandeka Moodley,Female,1980-05-10,Pretoria,South Africa,High,thandeka.moodley64@gmail.com,0648795419,2026-05-20 21:18:03.947897
C065,Simangele Zwane,Female,2003-04-15,Paarl,South Africa,High,simangele.zwane65@gmail.com,0883670226,2026-05-20 21:18:03.947897
C066,Simangele Fourie,Female,1980-03-07,Kimberley,South Africa,High,simangele.fourie66@gmail.com,0805013879,2026-05-20 21:18:03.947897
C067,Simangele Ndlovu,Female,1983-08-20,Pietermaritzburg,South Africa,Upper-Middle,simangele.ndlovu67@gmail.com,0706363836,2026-05-20 21:18:03.947897
C068,Johan Moloi,Male,1978-09-30,George,South Africa,Middle,johan.moloi68@gmail.com,0824589533,2026-05-20 21:18:03.947897
C069,Njabulo Williams,Male,1987-09-08,Midrand,South Africa,High,njabulo.williams69@gmail.com,0732044645,2026-05-20 21:18:03.947897
C070,Njabulo Smith,Male,1959-10-03,Benoni,South Africa,High,njabulo.smith70@gmail.com,0751098919,2026-05-20 21:18:03.947897
C071,Thandi Smith,Female,1995-08-05,Midrand,South Africa,Middle,thandi.smith71@gmail.com,0754681284,2026-05-20 21:18:03.947897
C072,Nokukhanya Govender,Female,1960-08-09,George,South Africa,Upper-Middle,nokukhanya.govender72@gmail.com,0817783308,2026-05-20 21:18:03.947897
C073,Phiwayinkosi Mokoena,Male,2005-12-02,Johannesburg,South Africa,High,phiwayinkosi.mokoena73@gmail.com,0781454696,2026-05-20 21:18:03.947897
C074,Sanele Mokoena,Male,1999-06-03,Bloemfontein,South Africa,Low,sanele.mokoena74@gmail.com,0687360307,2026-05-20 21:18:03.947897
C075,Neha Anderson,Female,1987-04-29,Polokwane,South Africa,High,neha.anderson75@gmail.com,0688072684,2026-05-20 21:18:03.947897
C076,Naledi Naidoo,Female,1959-09-28,Midrand,South Africa,Low,naledi.naidoo76@gmail.com,0714761823,2026-05-20 21:18:03.947897
C077,Mandla Zulu,Male,1980-03-08,East London,South Africa,Low,mandla.zulu77@gmail.com,0793556551,2026-05-20 21:18:03.947897
C078,Johan Naidoo,Male,1968-04-06,Benoni,South Africa,Middle,johan.naidoo78@gmail.com,0745299055,2026-05-20 21:18:03.947897
C079,Jennifer Mthembu,Female,1968-04-11,Bloemfontein,South Africa,Upper-Middle,jennifer.mthembu79@gmail.com,0631430812,2026-05-20 21:18:03.947897
C080,Nokufa Smith,Female,1993-08-02,East London,South Africa,Low,nokufa.smith80@gmail.com,0785074336,2026-05-20 21:18:03.947897
C081,Yusuf Mthembu,Male,1968-11-10,Benoni,South Africa,Low,yusuf.mthembu81@gmail.com,0719937982,2026-05-20 21:18:03.947897
C082,Siphokazi Ndlovu,Female,2003-05-24,Polokwane,South Africa,Low,siphokazi.ndlovu82@gmail.com,0878047416,2026-05-20 21:18:03.947897
C083,Elsie Brown,Female,1990-06-30,Stellenbosch,South Africa,Middle,elsie.brown83@gmail.com,0733955087,2026-05-20 21:18:03.947897
C084,Nozipho Naidoo,Female,1999-09-15,Paarl,South Africa,Upper-Middle,nozipho.naidoo84@gmail.com,0705118725,2026-05-20 21:18:03.947897
C085,Amit Taylor,Male,1979-11-17,Stellenbosch,South Africa,High,amit.taylor85@gmail.com,0701481506,2026-05-20 21:18:03.947897
C086,Nokwanda Baloyi,Female,2001-09-28,East London,South Africa,Upper-Middle,nokwanda.baloyi86@gmail.com,0855334434,2026-05-20 21:18:03.947897
C087,Zainab Mthembu,Female,1982-10-14,Midrand,South Africa,Low,zainab.mthembu87@gmail.com,0764205394,2026-05-20 21:18:03.947897
C088,Rajesh Williams,Male,2001-10-31,Midrand,South Africa,Middle,rajesh.williams88@gmail.com,0828987516,2026-05-20 21:18:03.947897
C089,Simangele Zulu,Female,1966-05-08,Nelspruit,South Africa,Middle,simangele.zulu89@gmail.com,0725081983,2026-05-20 21:18:03.947897
C090,Nobuhle Lombard,Female,2000-06-16,Midrand,South Africa,Upper-Middle,nobuhle.lombard90@gmail.com,0736549757,2026-05-20 21:18:03.947897
C091,Zodwa Smit,Female,1985-07-05,Kimberley,South Africa,Middle,zodwa.smit91@gmail.com,0634231028,2026-05-20 21:18:03.947897
C092,Maria Singh,Female,1974-08-11,East London,South Africa,Middle,maria.singh92@gmail.com,0839123504,2026-05-20 21:18:03.947897
C093,Nobuhle Pillay,Female,1983-05-23,Pretoria,South Africa,Middle,nobuhle.pillay93@gmail.com,0694816534,2026-05-20 21:18:03.947897
C094,Linda Joubert,Female,1959-04-09,Midrand,South Africa,Middle,linda.joubert94@gmail.com,0681763626,2026-05-20 21:18:03.947897
C095,Nkosinathi Pretorius,Male,1969-04-30,Sandton,South Africa,Low,nkosinathi.pretorius95@gmail.com,0871205779,2026-05-20 21:18:03.947897
C096,Nokuthula Naidoo,Female,1997-07-08,Polokwane,South Africa,Middle,nokuthula.naidoo96@gmail.com,0615235884,2026-05-20 21:18:03.947897
C097,Maria Ndlovu,Female,1993-12-13,Sandton,South Africa,Low,maria.ndlovu97@gmail.com,0781899411,2026-05-20 21:18:03.947897
C098,Hendrik Sithole,Male,1985-04-05,Durban,South Africa,Middle,hendrik.sithole98@gmail.com,0637982241,2026-05-20 21:18:03.947897
C099,Thandolwethu Smith,Male,1998-06-02,Stellenbosch,South Africa,Upper-Middle,thandolwethu.smith99@gmail.com,0878194570,2026-05-20 21:18:03.947897
C100,Nokufa Zwane,Female,1963-05-28,Boksburg,South Africa,Low,nokufa.zwane100@gmail.com,0844486102,2026-05-20 21:18:03.947897
C101,Sanjay Ngcobo,Male,1972-02-03,Pietermaritzburg,South Africa,Middle,sanjay.ngcobo101@gmail.com,0772259379,2026-05-20 21:18:03.947897
C102,Thabo Williams,Male,1998-06-02,Boksburg,South Africa,High,thabo.williams102@gmail.com,0691547605,2026-05-20 21:18:03.947897
C103,Mohammed Pretorius,Male,1998-09-25,Durban,South Africa,Middle,mohammed.pretorius103@gmail.com,0895438490,2026-05-20 21:18:03.947897
C104,Sanele Modise,Male,1978-03-03,Port Elizabeth,South Africa,Upper-Middle,sanele.modise104@gmail.com,0863386328,2026-05-20 21:18:03.947897
C105,Bongani Radebe,Male,1985-08-06,Boksburg,South Africa,Upper-Middle,bongani.radebe105@gmail.com,0743086308,2026-05-20 21:18:03.947897
C106,Thandi Jones,Female,1982-06-04,Centurion,South Africa,High,thandi.jones106@gmail.com,0742349590,2026-05-20 21:18:03.947897
C107,Sanele Kruger,Male,1980-06-18,Johannesburg,South Africa,Low,sanele.kruger107@gmail.com,0671348050,2026-05-20 21:18:03.947897
C108,Nokufa Dlamini,Female,1973-09-19,Sandton,South Africa,High,nokufa.dlamini108@gmail.com,0895666692,2026-05-20 21:18:03.947897
C109,Mduduzi Brown,Male,2002-02-11,Durban,South Africa,High,mduduzi.brown109@gmail.com,0717850944,2026-05-20 21:18:03.947897
C110,Nokwanda Cele,Female,1972-06-05,Polokwane,South Africa,High,nokwanda.cele110@gmail.com,0829312590,2026-05-20 21:18:03.947897
C111,Ntombifikile Moodley,Female,1961-04-17,Stellenbosch,South Africa,Low,ntombifikile.moodley111@gmail.com,0705234550,2026-05-20 21:18:03.947897
C112,Maria Jones,Female,2004-03-02,Johannesburg,South Africa,High,maria.jones112@gmail.com,0731909393,2026-05-20 21:18:03.947897
C113,Thandolwethu Lombard,Male,2002-09-21,Stellenbosch,South Africa,Low,thandolwethu.lombard113@gmail.com,0665480460,2026-05-20 21:18:03.947897
C114,Mohammed Taylor,Male,2001-06-27,Pretoria,South Africa,Low,mohammed.taylor114@gmail.com,0805014745,2026-05-20 21:18:03.947897
C115,Yusuf Moodley,Male,1959-03-25,Midrand,South Africa,High,yusuf.moodley115@gmail.com,0624769851,2026-05-20 21:18:03.947897
C116,Phiwayinkosi Modise,Male,1971-10-25,Sandton,South Africa,Upper-Middle,phiwayinkosi.modise116@gmail.com,0765587308,2026-05-20 21:18:03.947897
C117,Nokuthula Naidoo,Female,1979-11-13,Stellenbosch,South Africa,Middle,nokuthula.naidoo117@gmail.com,0724197911,2026-05-20 21:18:03.947897
C118,Kagiso Smit,Male,1995-03-24,Polokwane,South Africa,Upper-Middle,kagiso.smit118@gmail.com,0861043037,2026-05-20 21:18:03.947897
C119,Thandi Shabalala,Female,2001-12-05,Port Elizabeth,South Africa,High,thandi.shabalala119@gmail.com,0779125900,2026-05-20 21:18:03.947897
C120,Busisiwe Moodley,Female,1991-11-04,Stellenbosch,South Africa,Upper-Middle,busisiwe.moodley120@gmail.com,0874165061,2026-05-20 21:18:03.947897
C121,Buyani Smith,Male,1978-12-15,Paarl,South Africa,Low,buyani.smith121@gmail.com,0708935224,2026-05-20 21:18:03.947897
C122,Ayanda Khoza,Female,1971-08-25,Sandton,South Africa,Low,ayanda.khoza122@gmail.com,0649427047,2026-05-20 21:18:03.947897
C123,Elsie Taylor,Female,1966-12-12,Centurion,South Africa,High,elsie.taylor123@gmail.com,0603418526,2026-05-20 21:18:03.947897
C124,Patricia Ndlovu,Female,2000-02-14,Kimberley,South Africa,Upper-Middle,patricia.ndlovu124@gmail.com,0797668663,2026-05-20 21:18:03.947897
C125,Lungelo Singh,Male,1992-02-04,Polokwane,South Africa,High,lungelo.singh125@gmail.com,0871602286,2026-05-20 21:18:03.947897
C126,Rajesh Mhlongo,Male,1983-10-13,Pietermaritzburg,South Africa,Low,rajesh.mhlongo126@gmail.com,0732651601,2026-05-20 21:18:03.947897
C127,Mthokozisi Radebe,Male,1984-11-12,Johannesburg,South Africa,Low,mthokozisi.radebe127@gmail.com,0701941524,2026-05-20 21:18:03.947897
C128,Nompumelelo Lombard,Female,1996-08-21,Port Elizabeth,South Africa,Middle,nompumelelo.lombard128@gmail.com,0767913081,2026-05-20 21:18:03.947897
C129,Francois Baloyi,Male,1965-01-31,Boksburg,South Africa,High,francois.baloyi129@gmail.com,0795040453,2026-05-20 21:18:03.947897
C130,Nobuhle Moloi,Female,1978-10-31,Stellenbosch,South Africa,Upper-Middle,nobuhle.moloi130@gmail.com,0745283671,2026-05-20 21:18:03.947897
C131,Phiwayinkosi Pretorius,Male,1972-03-04,Durban,South Africa,High,phiwayinkosi.pretorius131@gmail.com,0716018975,2026-05-20 21:18:03.947897
C132,Fatima Anderson,Female,1985-02-07,East London,South Africa,High,fatima.anderson132@gmail.com,0879106886,2026-05-20 21:18:03.947897
C133,Rajesh Smith,Male,1990-03-16,Benoni,South Africa,Upper-Middle,rajesh.smith133@gmail.com,0825953150,2026-05-20 21:18:03.947897
C134,Sibusiso Smit,Male,1958-09-23,Benoni,South Africa,Low,sibusiso.smit134@gmail.com,0899333700,2026-05-20 21:18:03.947897
C135,Sunita Mthembu,Female,1989-08-10,Pietermaritzburg,South Africa,Middle,sunita.mthembu135@gmail.com,0795204819,2026-05-20 21:18:03.947897
C136,Mpho Mhlongo,Male,1961-07-15,Nelspruit,South Africa,High,mpho.mhlongo136@gmail.com,0617121355,2026-05-20 21:18:03.947897
C137,Tshepo Pretorius,Male,1987-04-24,Paarl,South Africa,Middle,tshepo.pretorius137@gmail.com,0663217273,2026-05-20 21:18:03.947897
C138,Sbongile Reddy,Female,1982-06-14,Bloemfontein,South Africa,Upper-Middle,sbongile.reddy138@gmail.com,0899084065,2026-05-20 21:18:03.947897
C139,Busisiwe Modise,Female,2000-01-07,Durban,South Africa,Middle,busisiwe.modise139@gmail.com,0844785186,2026-05-20 21:18:03.947897
C140,Lungile Lombard,Female,1966-02-07,George,South Africa,Low,lungile.lombard140@gmail.com,0683073474,2026-05-20 21:18:03.947897
C141,Siphokazi Fourie,Female,1992-03-08,Rustenburg,South Africa,Low,siphokazi.fourie141@gmail.com,0814922880,2026-05-20 21:18:03.947897
C142,Nomsa Zwane,Female,1987-06-06,Boksburg,South Africa,Middle,nomsa.zwane142@gmail.com,0802060605,2026-05-20 21:18:03.947897
C143,Thandi Khoza,Female,1994-08-19,Pretoria,South Africa,Middle,thandi.khoza143@gmail.com,0611624315,2026-05-20 21:18:03.947897
C144,Noxolo Modise,Female,1966-09-20,Pietermaritzburg,South Africa,Middle,noxolo.modise144@gmail.com,0728610879,2026-05-20 21:18:03.947897
C145,Nozipho Williams,Female,1971-11-12,Paarl,South Africa,Low,nozipho.williams145@gmail.com,0869209880,2026-05-20 21:18:03.947897
C146,Zainab Dlamini,Female,1991-03-30,East London,South Africa,High,zainab.dlamini146@gmail.com,0744961312,2026-05-20 21:18:03.947897
C147,Elsie Lombard,Female,1990-03-07,Cape Town,South Africa,High,elsie.lombard147@gmail.com,0684184459,2026-05-20 21:18:03.947897
C148,Phiwayinkosi Ngcobo,Male,1977-01-11,Boksburg,South Africa,Low,phiwayinkosi.ngcobo148@gmail.com,0616595355,2026-05-20 21:18:03.947897
C149,Johan Sithole,Male,1976-05-30,Durban,South Africa,Middle,johan.sithole149@gmail.com,0784623062,2026-05-20 21:18:03.947897
C150,Lungelo Moloi,Male,1958-04-03,Kimberley,South Africa,Middle,lungelo.moloi150@gmail.com,0645205279,2026-05-20 21:18:03.947897
C151,Themba Zulu,Male,1969-10-28,Johannesburg,South Africa,Upper-Middle,themba.zulu151@gmail.com,0854991829,2026-05-20 21:18:03.947897
C152,Nomsa Baloyi,Female,1981-10-22,Cape Town,South Africa,Middle,nomsa.baloyi152@gmail.com,0838062546,2026-05-20 21:18:03.947897
C153,Kagiso Naidoo,Male,1998-03-21,Rustenburg,South Africa,Low,kagiso.naidoo153@gmail.com,0749453010,2026-05-20 21:18:03.947897
C154,Mandla Pillay,Male,1985-01-22,Stellenbosch,South Africa,Low,mandla.pillay154@gmail.com,0619035982,2026-05-20 21:18:03.947897
C155,Nokukhanya Cele,Female,2001-12-26,Stellenbosch,South Africa,Low,nokukhanya.cele155@gmail.com,0882355439,2026-05-20 21:18:03.947897
C156,Patricia Ndlovu,Female,1969-04-28,Kimberley,South Africa,Upper-Middle,patricia.ndlovu156@gmail.com,0729901266,2026-05-20 21:18:03.947897
C157,Zodwa Reddy,Female,1996-08-05,Pretoria,South Africa,Low,zodwa.reddy157@gmail.com,0874607488,2026-05-20 21:18:03.947897
C158,Simangele Botha,Female,1995-02-15,Polokwane,South Africa,High,simangele.botha158@gmail.com,0727979148,2026-05-20 21:18:03.947897
C159,Andile Brown,Male,1986-01-14,Kimberley,South Africa,Upper-Middle,andile.brown159@gmail.com,0648956894,2026-05-20 21:18:03.947897
C160,Tshepo Ngcobo,Male,1966-05-13,Paarl,South Africa,Low,tshepo.ngcobo160@gmail.com,0837251976,2026-05-20 21:18:03.947897
C161,Nkosinathi Mkhize,Male,1987-07-29,Pretoria,South Africa,High,nkosinathi.mkhize161@gmail.com,0718095702,2026-05-20 21:18:03.947897
C162,Mohammed Mthembu,Male,1986-01-12,Rustenburg,South Africa,Low,mohammed.mthembu162@gmail.com,0789512969,2026-05-20 21:18:03.947897
C163,Hendrik Naidoo,Male,1978-02-13,Pretoria,South Africa,Upper-Middle,hendrik.naidoo163@gmail.com,0877166651,2026-05-20 21:18:03.947897
C164,Amit Sithole,Male,1978-04-16,Paarl,South Africa,Low,amit.sithole164@gmail.com,0795487028,2026-05-20 21:18:03.947897
C165,James Smit,Male,1985-09-20,Polokwane,South Africa,Upper-Middle,james.smit165@gmail.com,0604043480,2026-05-20 21:18:03.947897
C166,Buyani Jones,Male,1964-03-30,Port Elizabeth,South Africa,Low,buyani.jones166@gmail.com,0629900022,2026-05-20 21:18:03.947897
C167,Musa Williams,Male,1998-09-13,Polokwane,South Africa,Middle,musa.williams167@gmail.com,0716228407,2026-05-20 21:18:03.947897
C168,Nokufa Mthembu,Female,1965-08-15,Cape Town,South Africa,Middle,nokufa.mthembu168@gmail.com,0651834876,2026-05-20 21:18:03.947897
C169,Amit Taylor,Male,1996-01-16,Sandton,South Africa,High,amit.taylor169@gmail.com,0735582979,2026-05-20 21:18:03.947897
C170,Sakhile Modise,Male,1988-12-19,Paarl,South Africa,Low,sakhile.modise170@gmail.com,0699164342,2026-05-20 21:18:03.947897
C171,Zanele Botha,Female,1993-06-17,Boksburg,South Africa,Low,zanele.botha171@gmail.com,0604429650,2026-05-20 21:18:03.947897
C172,Neha Mokoena,Female,1980-12-03,Nelspruit,South Africa,Upper-Middle,neha.mokoena172@gmail.com,0631129686,2026-05-20 21:18:03.947897
C173,Nokukhanya Baloyi,Female,1969-08-04,George,South Africa,Middle,nokukhanya.baloyi173@gmail.com,0766941939,2026-05-20 21:18:03.947897
C174,Sibusiso Dlamini,Male,1997-02-19,Johannesburg,South Africa,High,sibusiso.dlamini174@gmail.com,0892306317,2026-05-20 21:18:03.947897
C175,Nokufa Brown,Female,1994-04-14,Paarl,South Africa,Upper-Middle,nokufa.brown175@gmail.com,0637795314,2026-05-20 21:18:03.947897
C176,Andile Radebe,Male,1999-04-12,Rustenburg,South Africa,Low,andile.radebe176@gmail.com,0732776088,2026-05-20 21:18:03.947897
C177,Sanele Shabalala,Male,1993-12-04,Centurion,South Africa,Low,sanele.shabalala177@gmail.com,0726205543,2026-05-20 21:18:03.947897
C178,Sunita de Villiers,Female,1973-01-31,Durban,South Africa,Low,sunita.de villiers178@gmail.com,0769555575,2026-05-20 21:18:03.947897
C179,Nhlanhla Steyn,Male,1971-04-02,Pietermaritzburg,South Africa,Low,nhlanhla.steyn179@gmail.com,0645294434,2026-05-20 21:18:03.947897
C180,James Mthembu,Male,1971-09-19,Durban,South Africa,Middle,james.mthembu180@gmail.com,0849289908,2026-05-20 21:18:03.947897
C181,Nokufa Shabalala,Female,1998-04-10,Benoni,South Africa,Upper-Middle,nokufa.shabalala181@gmail.com,0876303930,2026-05-20 21:18:03.947897
C182,Mthokozisi Ndlovu,Male,2000-01-26,Stellenbosch,South Africa,Upper-Middle,mthokozisi.ndlovu182@gmail.com,0855608259,2026-05-20 21:18:03.947897
C183,Nhlanhla Reddy,Male,1964-08-28,Nelspruit,South Africa,High,nhlanhla.reddy183@gmail.com,0741630944,2026-05-20 21:18:03.947897
C184,Sifiso Pretorius,Male,1964-11-19,Durban,South Africa,High,sifiso.pretorius184@gmail.com,0741688246,2026-05-20 21:18:03.947897
C185,Nokufa Khoza,Female,1974-11-21,Polokwane,South Africa,High,nokufa.khoza185@gmail.com,0763531028,2026-05-20 21:18:03.947897
C186,Mthokozisi Cele,Male,1988-10-23,Durban,South Africa,Middle,mthokozisi.cele186@gmail.com,0615156449,2026-05-20 21:18:03.947897
C187,Simangele Pillay,Female,2004-11-24,Boksburg,South Africa,Middle,simangele.pillay187@gmail.com,0717255418,2026-05-20 21:18:03.947897
C188,Ayanda Williams,Female,1988-05-10,Boksburg,South Africa,Low,ayanda.williams188@gmail.com,0856614484,2026-05-20 21:18:03.947897
